day,hour,track_id,track_name,artist_id,artist_name,acousticness,danceability,energy,liveness,loudness,instrumentalness,speechiness,tempo,valence,duration(ms),mode,key
2023-02-03,02,4j5UF24fwzvkw6QtNH5YtK,Afterparty,6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,0.101,0.753,0.836,0.118,-5.506,0.000896,0.044,121.95,0.661,160850,0,1
2023-02-03,02,2mAZiqOgpOQ3Wcnxxizcsf,I Like It,3GtCKJA4SkOxN65MWjm82R,Hot Shade,0.0377,0.659,0.839,0.0687,-5.862,0.0,0.0672,126.064,0.726,163810,0,10
2023-02-03,02,0HPJa3SJksQakwtOrJT7pj,Who's Gonna Love You Tonight (with Tinashe),2FwJwEswyIUAljqgjNSHgP,Snakehips,0.386,0.519,0.746,0.117,-5.217,0.0,0.0505,90.999,0.527,196535,1,5
2023-02-03,02,66ApsTpsJru1RynMvTmR4V,Body To Body,7vWC03wqXwUqjPON8hc1tz,TELYKast,0.0104,0.653,0.838,0.31,-4.854,0.0,0.0514,123.951,0.231,144677,0,3
2023-02-03,02,2AcKLW30dJ03qXsGU3RehH,All Or Nothing,0u6GtibW46tFX7koQ6uNJZ,Topic,0.173,0.598,0.783,0.0696,-3.908,0.0,0.0392,126.018,0.396,147973,0,5
2023-02-03,02,41QTVIWEHUxKMZFsq7H7jI,See You In My Dreams,6Dd3NScHWwnW6obMFbl1BH,Daya,8.94e-05,0.596,0.935,0.401,-4.994,0.00115,0.0299,127.999,0.302,159608,0,1
2023-02-03,02,3Z7CaxQkqbIs1rewKi6v4W,Hot In It,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,0.00445,0.748,0.841,0.0413,-5.08,1.33e-06,0.177,123.045,0.717,129817,1,7
2023-02-03,02,1nV6VafLPuRSsXgbDY3i6L,One Last Dance,4xnMDfgEmXZEEDdITKcGuE,Audien,0.164,0.713,0.719,0.0853,-6.972,0.0335,0.0455,119.993,0.24,184000,1,4
2023-02-03,02,0KG7XrgM20KEmJrKsyFDAm,Let You Go,5fMUXHkw8R8eOP2RNVYEZX,Diplo,0.101,0.584,0.955,0.092,-4.197,0.00243,0.0507,128.04,0.486,234375,0,7
2023-02-03,02,6ffAjqj8GGhvCx9flPcARn,Take Me Home,44re77WwNG34C182Jq3WIK,VAVO,0.132,0.653,0.856,0.235,-5.3,1.92e-06,0.046,123.929,0.376,150968,0,11
2023-02-03,02,5tXDj9RcCvE0G7sWLlLZDB,Fever (feat. Lukas Graham),23fqKkggKUBHNkbKtXEls4,Kygo,0.298,0.761,0.784,0.111,-6.435,8.22e-05,0.044,120.074,0.521,192973,0,2
2023-02-03,02,587xXusqiMW9gSXkNK8Zxf,What A Life (feat. Stevie Appleton),7kNqXtgeIwFtelmRjWv205,John Summit,0.0113,0.677,0.732,0.0978,-5.028,0.227,0.031,126.018,0.242,171548,0,7
2023-02-03,02,4iGjLLvo4Pax82YX3jE3Q1,Lonely Heart,4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,0.0664,0.786,0.733,0.0564,-4.283,0.0,0.0337,123.973,0.81,167527,0,8
2023-02-03,02,3nwd2gUT7l10HDUAOKXrhs,Easy Lover (feat. Big Sean),0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,0.00711,0.675,0.817,0.0839,-3.789,0.0,0.0497,105.964,0.446,215938,0,5
2023-02-03,02,3TjSfWGX3hsBISISnYnBev,Feel Alive,3nFw6mPGG5Uj2YS7IyaGEF,Roman Müller,0.137,0.707,0.661,0.0795,-7.587,0.0,0.04,99.987,0.455,194425,1,7
2023-02-03,02,2ZpL0ykp4gIyMxHam6vi6G,Way Back Home,4xnMDfgEmXZEEDdITKcGuE,Audien,0.245,0.634,0.713,0.0703,-3.718,0.000169,0.0357,128.02,0.218,164056,1,9
2023-02-03,02,3FN3jsZTdt5sU6NRcIgUKK,Radio,1IueXOQyABrMOprrzwQJWN,Sigala,0.0431,0.737,0.866,0.099,-4.749,0.000143,0.0415,126.019,0.868,195263,0,7
2023-02-03,02,7dk9EBvTbbKBbFxjCAJpwK,Hear Me Say,1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,0.133,0.697,0.836,0.0754,-5.005,4.46e-06,0.0437,121.977,0.631,190772,1,5
2023-02-03,02,4uZKz3TLaSEY4vVb86jyAp,Don't Leave Me Lonely,6MDME20pz9RveH9rEXvrOM,Clean Bandit,0.684,0.687,0.719,0.125,-6.167,6.67e-05,0.212,139.963,0.186,172987,0,6
2023-02-03,02,2wqxcctWptasX4VnP2sRvV,Dancing’s Done,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,0.0171,0.588,0.835,0.113,-3.141,1.61e-06,0.0595,113.997,0.215,166601,0,1
2023-02-03,01,7uY8q7WQdukE0L3JcOyLQL,Caught Up (with Olivia O'Brien),2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,0.00891,0.7,0.822,0.138,-4.749,8.13e-05,0.0459,122.018,0.525,173215,0,5
2023-02-03,01,3hmOHDyG0ar79kBeRwD2V4,Take Your Time - D.O.D Remix,1rSGNXhhYuWoq9BEz5DZGO,ARTY,0.166,0.487,0.682,0.0877,-4.6,0.000634,0.0527,123.391,0.356,197403,1,7
2023-02-03,01,6nbXYLeP21ksEQNFrHl2a2,Drifting Away,4xnMDfgEmXZEEDdITKcGuE,Audien,0.204,0.543,0.623,0.161,-4.067,0.0,0.0314,127.884,0.171,198750,1,10
2023-02-03,01,1PKqiewc0OyZVYxFz5ugbH,Always Be There,1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,0.16,0.702,0.759,0.062,-3.292,0.0,0.0381,123.999,0.761,198408,1,0
2023-02-03,01,42WEv3u02DH3mWGbYEZKLW,hate me like u love me (feat. jake neumar),4VfTgWhy9PKLJN3xKJcDqf,Syence,0.00663,0.474,0.872,0.0886,-3.869,0.00095,0.233,123.256,0.308,132683,0,7
2023-02-03,01,5Dz6wdHlI45KAOBAfMSJRS,Gold,43UmVQp9qZILibJ5vHq21k,Austin Millz,0.265,0.713,0.737,0.211,-5.462,7.22e-05,0.0894,117.085,0.533,175417,1,8
2023-02-03,01,46id9snGVXnL2aUR5nISKC,100% Pure Love,5vBSrE1xujD2FXYRarbAXc,Years & Years,0.00349,0.705,0.924,0.332,-3.202,2.57e-05,0.0321,119.991,0.337,180825,1,7
2023-02-03,01,675AmMuIkDH0sg29tT0CmE,Crash - (TELYKast Remix),3sKeaby6GMSJWgYueZaSjE,Mokita,0.109,0.707,0.674,0.101,-7.471,0.00452,0.0402,127.972,0.205,155856,0,6
2023-02-03,01,33oQaDZex8PFThfgpCpOdH,Love Runs Deep,0FVj4JuzTyudaXAwfqDQ20,Autograf,0.0294,0.815,0.705,0.173,-4.934,1.62e-06,0.135,123.981,0.516,166004,0,11
2023-02-03,01,5X107YxNbBbQBn6ofr7OPR,Don't Cry,2uLjsXkHNJaxZTwVkDZktv,LODATO,0.0172,0.583,0.926,0.306,-2.662,0.000145,0.141,118.958,0.402,191132,0,9
2023-02-03,01,6EafRI0UtUidrZbbKpFRYq,Forget About Me,5ITI6SEoUZMIXXkzCfr4oE,Aluna,0.0428,0.721,0.894,0.134,-7.59,0.502,0.0488,127.005,0.88,177638,0,3
