day,hour,track_id,track_name,artist_id,artist_name,acousticness,danceability,energy,liveness,loudness,instrumentalness,speechiness,tempo,valence,duration(ms),mode,key
2023-02-03,00,72yOVhxkfd9lgp4Q0EaJTK,Like I Do,2rYFy6vVM1YiECVIAHaJBY,Steve James,0.126,0.751,0.65,0.161,-6.212,1.78e-05,0.046,119.983,0.485,170000,0,1
2023-02-03,00,6BePGk3eCan4FqaW2X8Qy3,10:35,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,0.0683,0.696,0.793,0.18,-5.733,3.78e-06,0.097,120.003,0.698,172253,1,8
2023-02-03,00,1GL7vwDnPqCnJ2xGNxNLwG,These Nights,6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,0.00444,0.643,0.714,0.146,-5.504,2.85e-06,0.0486,120.027,0.205,132417,0,2
2023-02-03,00,3qa60ubSTZWvjqWUzCqluX,After Hours,5X4LWwbUFNzPkEas04uU82,DVBBS,0.25,0.742,0.651,0.135,-7.764,0.0199,0.195,122.023,0.418,167731,0,6
2023-02-03,00,4KqA0GwEKbc96WyfIZn3SV,Those Eyes,1rSGNXhhYuWoq9BEz5DZGO,ARTY,0.0698,0.727,0.822,0.408,-4.481,0.000175,0.0471,118.092,0.855,162787,0,5
2023-02-03,00,2w1rG2MPE4vF77znvevuz5,Who Do You Love,1rSGNXhhYuWoq9BEz5DZGO,ARTY,0.018,0.537,0.964,0.16,-2.677,0.00138,0.0552,125.992,0.509,208254,0,5
2023-02-03,00,3wnV3a1u6QgSzKPZl5v67c,Whitney,06vEAqcicwoSBw85e8biJx,Rêve,0.0944,0.643,0.708,0.275,-4.989,0.000696,0.0541,120.049,0.328,191720,0,10
2023-02-03,00,5AnFltV45uUTHmRIzHvzUh,Too Late For Love,4YLQaW1UU3mrVetC8gNkg5,3LAU,0.0454,0.609,0.629,0.515,-8.042,0.00656,0.0297,122.018,0.283,162295,0,1
2023-02-03,00,1EF8Ya2wALJOufB5VQAwtt,Take Me High,2avRYQUWQpIkzJOEkf0MdY,Kx5,0.00285,0.713,0.77,0.597,-6.173,0.461,0.0417,127.936,0.0391,255000,0,10
2023-02-03,00,4kz68zBBsAOtRnUbAjVsKr,Anyone,6lB8vOoI4DRrrVxXwuV19c,Mike Perry,0.0175,0.752,0.747,0.098,-4.789,0.00105,0.0436,121.973,0.461,185901,1,7
2023-02-03,00,1hUV7Uu4pYQZaaXLjEIIYn,Rather Be Alone,2s7Oijd4mFGgEkhYJtf3sJ,Shane Codd,0.134,0.644,0.903,0.205,-3.345,1.29e-06,0.185,123.951,0.564,137419,0,0
2023-02-03,00,5XZXl7asBflC33KL5zaLXW,Where Have You Been,1rSGNXhhYuWoq9BEz5DZGO,ARTY,0.0169,0.564,0.931,0.117,-3.163,0.842,0.0357,126.002,0.866,167619,0,1
2023-02-03,00,2UwgoIMAYT0pDOxUFTjEVJ,Chill Like That,0PavAVTZWBEpaj4iJdKCyj,Sunday Scaries,0.00176,0.889,0.871,0.279,-5.349,0.586,0.149,124.008,0.491,178909,0,11
2023-02-03,00,1dHiSGzb9WFtDKnBFJs4KO,Just Say,0Adbm5kzcPUxFybf9fhjgG,Coco & Breezy,0.0465,0.83,0.419,0.0815,-9.76,0.0145,0.063,119.993,0.511,166000,0,5
2023-02-03,00,2Tl5fhF4itz5VeXHRVGIO5,Unholy (feat. Kim Petras) - Disclosure Remix,2wY79sveU1sp5g7SokKOiI,Sam Smith,0.00476,0.736,0.783,0.343,-6.765,0.0055,0.0504,127.998,0.179,234411,1,1
