day,hour,track_id,track_name,artist_id,artist_name,acousticness,danceability,energy,liveness,loudness,instrumentalness,speechiness,tempo,valence,duration(ms),mode,key
2023-01-26,00,6ffAjqj8GGhvCx9flPcARn,Take Me Home,44re77WwNG34C182Jq3WIK,VAVO,0.132,0.653,0.856,0.235,-5.3,1.92e-06,0.046,123.929,0.376,150968,0,11
2023-01-26,00,4ANmPUsA3LAvOSP8xen6Vt,The Calling,1KpCi9BOfviCVhmpI4G2sY,Tchami,0.00867,0.748,0.873,0.244,-6.301,0.151,0.0627,124.995,0.348,197760,1,6
2023-01-26,00,1hUV7Uu4pYQZaaXLjEIIYn,Rather Be Alone,2s7Oijd4mFGgEkhYJtf3sJ,Shane Codd,0.134,0.644,0.903,0.205,-3.345,1.29e-06,0.185,123.951,0.564,137419,0,0
2023-01-26,00,7I4yaEqhvAhz795dN0mMre,Just Words,5X4LWwbUFNzPkEas04uU82,DVBBS,0.0539,0.722,0.8,0.312,-4.474,0.000104,0.0946,125.008,0.586,171406,0,11
2023-01-26,00,2n6qz4opcJlHsEpI8030YM,Check Out,4q0N3EI67tVnAeeaXbNQIj,J. Worra,0.00577,0.814,0.675,0.0956,-6.761,0.0818,0.042,125.0,0.776,174138,0,10
2023-01-26,00,5MnmuLgPmsAFkmG5n85cna,Better (feat. Teddy Swims),1yqxFtPHKcGcv6SXZNdyT9,MK,0.0729,0.624,0.966,0.181,-3.155,4.84e-06,0.041,124.984,0.758,182463,0,6
