day,hour,track_id,track_name,artist_id,artist_name,acousticness,danceability,energy,liveness,loudness,instrumentalness,speechiness,tempo,valence,duration(ms),mode,key
2023-01-25,16,7nm5N2yWWlDp3R9wPSGmj8,My Way,68KmkJeZGfwe1OUaivBa2L,ATEEZ,0.113,0.592,0.797,0.484,-4.781,0.0,0.092,156.178,0.465,228228,1,0
2023-01-25,16,218HoybCAeMbJeCPfiKF83,Chemistry,4XgL05GiIZGJev3EwBnbsE,Madison Rose,0.0773,0.668,0.869,0.284,-5.836,4.19e-05,0.0731,123.993,0.372,173249,0,9
2023-01-25,16,72yP0DUlWPyH8P7IoxskwN,Hold Me Closer,3PhoLpVuITZKcymswpck5b,Elton John,0.0746,0.667,0.75,0.197,-4.602,0.000198,0.0906,126.041,0.486,202246,1,0
2023-01-25,16,5vlzH0ps6WDyb158oFTAb3,Lionheart (Fearless),6DgP9otnZw5z6daOntINxp,Joel Corry,0.0217,0.628,0.967,0.336,-2.43,0.00157,0.0538,125.982,0.349,186689,1,8
2023-01-25,16,2pIUpMhHL6L9Z5lnKxJJr9,Attention,6HvZYsbFfjnjFrWF950C9d,NewJeans,0.236,0.811,0.648,0.0761,-3.684,0.0,0.0368,104.988,0.695,180067,0,10
2023-01-25,16,2rX3swM25DhNwg7mTjnzbG,Friendzone (feat. BIG Naughty),1o13ZguNtAOcOe1k0chkta,Minsu,0.374,0.86,0.595,0.0652,-7.083,0.000462,0.267,93.11,0.718,222576,1,8
2023-01-25,16,2jOQGSEqdQrqb7OuzWFmmv,Dancing On Cars,3whuHq0yGx60atvA2RCVRW,Olly Murs,0.0427,0.813,0.76,0.0675,-4.488,0.0,0.0767,108.031,0.789,210045,0,8
2023-01-25,16,0Uv0h4QmjeR9ew5AjyBR3i,Never Gonna Not Dance Again,1KCSPY1glIKqW2TotWuXOR,P!nk,0.0272,0.675,0.775,0.113,-4.072,0.0,0.0738,113.872,0.8,225789,0,5
2023-01-25,16,4lF9JzycIDsrjd1gOymJBn,BEAUTY iNSIDE,4e8UtPYfVPBzWO4PY8CZye,NINE.i,0.026,0.733,0.714,0.133,-4.812,1.54e-05,0.0425,100.023,0.427,199800,1,8
2023-01-25,16,3r8RuvgbX9s7ammBn07D3W,Ditto,6HvZYsbFfjnjFrWF950C9d,NewJeans,0.027,0.814,0.641,0.0993,-5.957,0.0,0.111,133.854,0.183,185507,0,6
2023-01-25,16,5RVjB86R02f47lCZSPFOzj,Damn (You’ve Got Me Saying),4sTQVOfp9vEMCemLw50sbu,Galantis,0.0654,0.665,0.843,0.268,-3.347,0.0,0.0354,122.029,0.845,195268,0,5
2023-01-25,16,21ApmVGIzIAIDSBdHu6SVt,No Celestial,4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,0.0168,0.618,0.801,0.131,-2.905,0.0,0.0825,138.028,0.699,166491,1,7
2023-01-25,16,5s5TNGxkKh3FufBOdGsIlM,Twilight,68KmkJeZGfwe1OUaivBa2L,ATEEZ,0.102,0.718,0.871,0.313,-4.503,0.0,0.0585,109.95,0.503,224938,1,4
2023-01-25,16,6aEtOtuVYBDfR07qJm8wB3,ME WITHOUT U,0Sz2jslaxjcw2VM5zYh2jK,Kaleena Zanders,0.0176,0.713,0.906,0.168,-2.299,6.31e-05,0.14,124.033,0.733,156313,1,1
2023-01-25,16,4NQ2EqWimM05dRSdHrmkdf,Selfish,4ur1jCwyNlhgd0viJkOtcQ,YooA,0.403,0.88,0.903,0.426,-1.011,5.65e-06,0.178,120.028,0.955,208747,1,6
