day,hour,track_id,track_name,artist_id,artist_name,acousticness,danceability,energy,liveness,loudness,instrumentalness,speechiness,tempo,valence,duration(ms),mode,key
2023-02-01,00,59LC67RRObcn41WkRnP9YV,Guerrilla,68KmkJeZGfwe1OUaivBa2L,ATEEZ,0.00395,0.557,0.891,0.0485,-5.348,0.0,0.131,181.959,0.583,207930,1,9
2023-02-01,00,5bdmWBCaiaHk2HbqKOXLyJ,Underwater,0qr7Rhj0yU7BPySYecNUlm,KWON EUN BI,0.0733,0.751,0.929,0.0833,-1.213,2.37e-05,0.0585,115.018,0.678,170600,0,10
2023-02-01,00,1f4HxbLx0uCBrKlsszA9m1,Look At You,3Vl9fyKMIdLMswk8ai3mm9,Rebecca Black,0.232,0.465,0.467,0.1,-7.478,7.4e-06,0.0375,79.525,0.418,164745,1,0
2023-02-01,00,0ddSLVdbpKFO1FtIYpYnw9,PLAY,4eh2JeBpQaScfHKKXZh5vO,LUCY,0.634,0.424,0.663,0.112,-4.133,9.54e-05,0.0391,186.093,0.196,226880,1,5
2023-02-01,00,7LIEUUD8t7IRRiZpQyLqUL,Marigold,3ZRrPmnB6ORWKeEJ8qawnP,PL,0.685,0.373,0.497,0.335,-5.744,0.0,0.0341,73.996,0.323,206501,1,0
2023-02-01,00,5MPTnzbIv8DFih57iAE8Kt,I Feel Your Love,3h4p2PKHb9JejBCHmWlthK,Luli Lee,0.564,0.819,0.623,0.0982,-6.901,0.0115,0.0396,101.972,0.551,224706,1,2
2023-02-01,00,6RIWij0YRX8zZJ9pv9CTbS,The last stop of our pain,5wVJpXzuKV6Xj7Yhsf2uYx,HANRORO,0.874,0.536,0.29,0.0905,-9.273,0.000133,0.0324,123.928,0.162,252000,1,7
2023-02-01,00,1VQdIRFC8PBg25xXNFZLUU,LAVISH LIGHT,1mgzY8CsK8lyJy96tT8bV5,ALICE,0.313,0.773,0.866,0.303,-2.019,0.0,0.103,113.003,0.681,213080,0,5
2023-02-01,00,4nhTcqqJSgGRrc4JTmkSTo,Sippin' Your Love (Feat. Moon Sujin),45fb9w2o57YBpFGrhUhXGi,MINJE,0.565,0.578,0.492,0.0962,-7.227,0.0,0.0381,167.074,0.329,215912,1,9
2023-02-01,00,0UsHnRSfWyviHYhqsLMi0g,Desire,68KmkJeZGfwe1OUaivBa2L,ATEEZ,0.0146,0.58,0.81,0.702,-4.503,0.0,0.102,101.971,0.574,234509,1,0
2023-02-01,00,1ItdTDx23yt7tIJOZv5iLQ,One Of Us,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,0.014,0.626,0.842,0.235,-3.827,0.0,0.0357,145.03,0.55,178010,0,0
2023-02-01,00,35ytd9cmG15jXG0RKWC9p4,Graduation,1gBUSTR3TyDdTVFIaQnc02,NCT DREAM,0.426,0.4,0.663,0.141,-4.642,0.0,0.0712,169.772,0.41,237093,1,6
