day,hour,track_id,track_name,artist_id,artist_name,acousticness,danceability,energy,liveness,loudness,instrumentalness,speechiness,tempo,valence,duration(ms),mode,key
2023-01-25,22,39JofJHEtg8I4fSyo7Imft,B.O.T.A. (Baddest Of Them All) - Edit,4XC335ouK6pXyq4QiIb8bP,Eliza Rose,0.164,0.736,0.906,0.106,-7.589,0.585,0.048,137.001,0.698,226627,1,0
2023-01-25,22,2c3KCGq6UojB2c8UAFrRON,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,3AA28KZvwAUcZuOKwyblJQ,Gorillaz,0.012,0.716,0.897,0.325,-7.185,0.262,0.0629,127.03,0.358,274142,0,4
2023-01-25,22,6txvQu0zUbiqG24A8XMLnK,Miracle Maker,205i7E8fNVfojowcQSfK9m,Dom Dolla,0.00124,0.609,0.94,0.15,-6.097,0.269,0.0617,128.001,0.238,188592,1,10
2023-01-25,22,5AnFltV45uUTHmRIzHvzUh,Too Late For Love,4YLQaW1UU3mrVetC8gNkg5,3LAU,0.0454,0.609,0.629,0.515,-8.042,0.00656,0.0297,122.018,0.283,162295,0,1
2023-01-25,22,66ApsTpsJru1RynMvTmR4V,Body To Body,7vWC03wqXwUqjPON8hc1tz,TELYKast,0.0104,0.653,0.838,0.31,-4.854,0.0,0.0514,123.951,0.231,144677,0,3
2023-01-25,22,6BwPstqf4RoRMbDidFWNxE,Do It All Again,1ocnIbhFWM9bSPrd7Hu4zF,Punctual,0.0226,0.748,0.786,0.167,-5.129,5.54e-05,0.057,123.996,0.664,137419,0,10
2023-01-25,22,09k78uaXYQnotaFQMRA8Ee,Nothing On Earth,7ui1kBUIbujvJnIXxDjoWz,NIIKO X SWAE,0.0123,0.705,0.764,0.112,-4.887,0.00233,0.0462,130.014,0.452,192000,1,8
2023-01-25,22,3ehuQZkvZVeSgbshFFZKW2,Day N Night,4D75GcNG95ebPtNvoNVXhz,Afrojack,0.134,0.709,0.871,0.316,-4.126,0.0,0.175,125.94,0.667,179200,0,5
2023-01-25,22,2AcKLW30dJ03qXsGU3RehH,All Or Nothing,0u6GtibW46tFX7koQ6uNJZ,Topic,0.173,0.598,0.783,0.0696,-3.908,0.0,0.0392,126.018,0.396,147973,0,5
2023-01-25,22,0iF6QJbS6FRPokpyVHVkKt,Better Now,7vWC03wqXwUqjPON8hc1tz,TELYKast,0.064,0.617,0.873,0.0995,-4.624,1.43e-06,0.0925,124.055,0.302,181935,0,10
2023-01-25,22,2cjhbrRCiUwRWL2PDPpDAu,Solitude (with BIA & Lucky Daye),2FwJwEswyIUAljqgjNSHgP,Snakehips,0.00186,0.693,0.833,0.413,-5.832,0.00513,0.0736,120.025,0.452,174477,0,11
2023-01-25,22,5IFSvSEeCAvvBEQ85poqKB,Edge of Seventeen,6Se1y4vDcu9fVHLqdj1N3q,Wuki,0.0324,0.708,0.909,0.08,-5.999,0.527,0.0476,127.997,0.351,164043,0,5
2023-01-25,22,0u0oY2WuHC8B22p5nF8qsU,When I Talk,2CIMQHirSU0MQqyYHq0eOx,deadmau5,0.207,0.679,0.845,0.119,-6.548,0.114,0.0507,126.026,0.115,207262,0,11
2023-01-25,22,5X107YxNbBbQBn6ofr7OPR,Don't Cry,2uLjsXkHNJaxZTwVkDZktv,LODATO,0.0172,0.583,0.926,0.306,-2.662,0.000145,0.141,118.958,0.402,191132,0,9
2023-01-25,22,1GL7vwDnPqCnJ2xGNxNLwG,These Nights,6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,0.00444,0.643,0.714,0.146,-5.504,2.85e-06,0.0486,120.027,0.205,132417,0,2
2023-01-25,22,3KAExCnsrlAw9ugJcA1QDH,Escape (feat. Hayla),2avRYQUWQpIkzJOEkf0MdY,Kx5,0.175,0.659,0.798,0.708,-6.933,0.000379,0.0749,126.064,0.15,240445,0,9
2023-01-25,22,3wnV3a1u6QgSzKPZl5v67c,Whitney,06vEAqcicwoSBw85e8biJx,Rêve,0.0944,0.643,0.708,0.275,-4.989,0.000696,0.0541,120.049,0.328,191720,0,10
2023-01-25,22,78VvdxcfXAYBhdzuLFFvSK,Kiss It Better,5ITI6SEoUZMIXXkzCfr4oE,Aluna,0.00102,0.795,0.83,0.0964,-5.358,0.0345,0.0332,127.008,0.601,257056,1,2
2023-01-25,22,4j5UF24fwzvkw6QtNH5YtK,Afterparty,6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,0.101,0.753,0.836,0.118,-5.506,0.000896,0.044,121.95,0.661,160850,0,1
2023-01-25,22,2UwgoIMAYT0pDOxUFTjEVJ,Chill Like That,0PavAVTZWBEpaj4iJdKCyj,Sunday Scaries,0.00176,0.889,0.871,0.279,-5.349,0.586,0.149,124.008,0.491,178909,0,11
2023-01-25,21,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,06HL4z0CvFAxyc27GXpf02,Taylor Swift,0.13,0.637,0.643,0.142,-6.571,1.8e-06,0.0519,97.008,0.533,200690,1,4
2023-01-25,21,4v2BLMhWtVvBnZwuoiKxja,"HALA HALA (Hearts Awakened, Live Alive)",68KmkJeZGfwe1OUaivBa2L,ATEEZ,0.0153,0.572,0.778,0.188,-4.178,0.0,0.189,159.904,0.294,202098,0,9
2023-01-25,21,4v2BLMhWtVvBnZwuoiKxja,"HALA HALA (Hearts Awakened, Live Alive)",68KmkJeZGfwe1OUaivBa2L,ATEEZ,0.0153,0.572,0.778,0.188,-4.178,0.0,0.189,159.904,0.294,202098,0,9
2023-01-25,21,39LJTkbl1WkvSni7zJ66tJ,Faces,1zEBFt39bOEItIt8dxf3kJ,Mike Taveira,0.0156,0.744,0.675,0.295,-2.529,0.000188,0.0424,122.017,0.837,141680,0,9
2023-01-25,21,1nmc8ngLcvccw7Lay5v5SP,VISION,5V1qsQHdXNm4ZEZHWvFnqQ,Dreamcatcher,0.0308,0.582,0.855,0.144,-4.168,0.0,0.0561,94.958,0.355,189173,1,11
2023-01-25,21,7gjNxZa0eOEFLY1So9s3fC,WHEN I MOVE,7aZ221EQfonNG2lO9Hh192,KARA,0.205,0.712,0.849,0.0605,-2.431,0.0,0.209,115.779,0.611,178360,0,10
2023-01-25,21,4TXo3KpvdwHSdrPJlWDfgn,Forgive Me,4muJrGMndyYWqZtfk8OWy4,BoA,0.154,0.63,0.894,0.485,-1.877,0.0,0.0692,100.029,0.635,168347,0,5
2023-01-25,21,54z9tiaPu15pfkGSUwrOLI,Promise,68KmkJeZGfwe1OUaivBa2L,ATEEZ,0.00344,0.653,0.82,0.072,-4.291,0.0,0.071,100.056,0.663,195782,0,6
2023-01-25,21,0SDUepNAC5xZPkIEb6Kpce,Treasure,68KmkJeZGfwe1OUaivBa2L,ATEEZ,0.0827,0.657,0.866,0.081,-3.464,0.0,0.0704,133.966,0.654,220846,0,6
2023-01-25,21,09SYQz2p6eN1j7wyIqOxJZ,LOCO (9:00 pm) (Prod. RYAN JHUN),0zaojLm0dZPsN1d0GMK9Wd,REN,0.0274,0.701,0.809,0.0521,-5.58,0.0,0.101,94.991,0.837,188842,0,7
2023-01-25,21,65FftemJ1DbbZ45DUfHJXE,OMG,6HvZYsbFfjnjFrWF950C9d,NewJeans,0.357,0.804,0.771,0.108,-4.067,3.07e-06,0.0433,126.956,0.739,212253,0,9
2023-01-25,21,17UMDTqVeX3SqvgKr8kSmF,Lobby,7FNnA9vBm6EKceENgCGRMb,Anitta,0.0477,0.759,0.711,0.143,-5.199,1.19e-06,0.0384,111.902,0.436,157837,1,0
2023-01-25,21,74FInvmyz8taG35p8QYU6J,Girls Night Out (with Doechii),3aVoqlJOYx31lH1gibGDt3,Babyface,0.168,0.782,0.823,0.168,-6.016,1.38e-05,0.0793,124.007,0.709,201528,0,6
2023-01-25,21,4ThOZ5HXGvCfUbptEJRzyF,Scandalous (with Tinashe),2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,0.00895,0.671,0.897,0.111,-5.897,0.0113,0.0716,116.973,0.232,159253,1,0
2023-01-25,21,6BePGk3eCan4FqaW2X8Qy3,10:35,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,0.0683,0.696,0.793,0.18,-5.733,3.78e-06,0.097,120.003,0.698,172253,1,8
2023-01-25,21,29upl5ytUcahfLE8q24SMd,Disco Heart,6T56xtTEllGW17snjAZLNP,Gia Woods,0.043,0.572,0.77,0.188,-5.964,0.0,0.0596,128.024,0.285,195048,0,10
2023-01-25,21,7F0MuIk5glqtowCUjbn9es,Impurities,4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,0.231,0.715,0.757,0.0656,-4.746,0.0,0.0373,90.065,0.464,196365,0,9
2023-01-25,21,4tG2c8LP7J0EsfQ8gKLm7q,Queen of Hearts,6RHTUrRF63xao58xh9FXYJ,IVE,0.0141,0.772,0.737,0.127,-3.62,3.2e-05,0.0942,134.977,0.752,145320,0,10
2023-01-25,21,4tG2c8LP7J0EsfQ8gKLm7q,Queen of Hearts,6RHTUrRF63xao58xh9FXYJ,IVE,0.0141,0.772,0.737,0.127,-3.62,3.2e-05,0.0942,134.977,0.752,145320,0,10
